nomem_encr,gross income,net income,gross income med 2011-2020,gross income std 2011-2020,net income std 2011-2020,age,gender,got married,net income med 2011-2020,how many years first/next child (imp zero),how many years first/next child (imp neg),primary occupation (imp),gross income (imp),net income (imp),civil status (imp),level of education (imp),lives together with partner (imp),urban character (imp),dwelling type (imp),domestic situation (imp),how many years first/next child (imp),how many (more) children (imp),will have (more) children (imp),father birth year (imp),father death year (imp),mother birth year (imp),mother death year (imp),age when parents separated (imp),distance from parents (imp),live together with partner (imp),year relatioship start (imp),year cohabitation start (imp),married (imp),year married (imp),same partner from last year (imp),satisfied with being single (imp),relationship arguments - leisure (imp),relationship arguments - working (imp),childcare hours (imp),childcare expense (imp),children passed away (imp),number of children passed away (imp),household division - jobs (imp),ever contacted a politician(imp),income disparity opinion (imp),opinion - should marry for children (imp),opinion - single parent is acceptable (imp),opinion - divorce is acceptable (imp),number of days for leasure (imp),highest level of education (imp),religion gatherions attendance (imp),speak dutch with partner (imp),speak dutch with children (imp),car value (imp),property value (imp),enterpreneur (imp),pay parental contribution (imp),go to gynaecologist (imp),year last child (imp),num children (imp),how many years first/next child,how many (more) children,will have (more) children,live together with partner,married,same partner,satisfaction with being single,go to gynaecologist,origin (imp),occupation,gross income (imp),net income (imp),civil status,level of education,lives together with partner,urban character,dwelling type,domestic situation,partner has same sex,neuroticism,extraversion,agreableness,conscientiousness,openness,new_child
721444,4200.0,2500,3850.0,375.9457770380288,121.56688311669042,42,male,0,2450.0,,,Paid employment,4200.0,2500,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",,,no,1949,,1953,,,9907.0,yes,2001,2003,yes,2006,yes,,practically never,practically never,6,128,no,,I do more than my partner,no,,neither agree nor disagree,disagree,neither agree nor disagree,less than 1 day a week,,never,"yes, often/always","yes, often/always",,185000,no,yes,no,2015,2,,,no,yes,yes,yes,,no,Dutch background,Paid employment,4200.0,2500,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,0.4546409511650577,-1.0446382263324447,-0.517082129699652,0.3526823585800905,-0.994180888659248,0
717548,5000.0,3000,5000.0,0.0,0.0,19,female,0,3000.0,,,Attends school or is studying,0.0,0,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",,,no,1967,,1975,,,,,,,,,,,,,,,no,,,no,,fully disagree,fully agree,fully agree,less than 1 day a week,"HAVO / VWO (higher/pre-university secondary education, US: senior high school)",never,not applicable,not applicable,,,no,yes,no,,0,,,no,,,,,no,,Attends school or is studying,0.0,0,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,1.495144897902015,-1.0546857605884614,1.7449393625397736,1.3010506723786956,1.0483231879415986,0
702016,3300.0,2700,3300.0,0.0,32.43530062242885,33,male,0,2700.0,1,1,Paid employment,3300.0,2700,Married,wo (university),Yes,Extremely urban,Rental dwelling,"(Un)married co-habitation, with child(ren)",1,1,yes,1964,,1968,,,,yes,2013,2013,yes,2013,yes,,often,occasionally,23,500,no,,my partner does more than I,yes,,neither agree nor disagree,agree,agree,3 days per week,,once a week,"no, never","no, never",,,yes,"no, I don't have enough money for that",no,2015,1,1,1,yes,yes,yes,yes,,no,"First generation foreign, non-western background",Paid employment,3300.0,2700,Married,wo (university),Yes,Extremely urban,Rental dwelling,"(Un)married co-habitation, with child(ren)",False,0.3979447725284748,-0.4174342821668796,-1.359044436846833,-0.6512500023660186,-1.395265861873701,0
722640,4822.098295147,3000,4822.098295147,4.6000472035200166e-12,0.0,33,female,0,3000.0,0,0,Paid employment,4822.098295147,3000,Never been married,"hbo (higher vocational education, US: college)",No,Not urban,Self-owned dwelling,Single,0,2,yes,1941,,1945,,,6883.0,,,,,,,6,,,,,no,,,no,,fully disagree,fully agree,agree,never,,never,not applicable,not applicable,8000,,no,not applicable,yes,,0,0,2,yes,,,,6,yes,Dutch background,Paid employment,4822.098295147,3000,Never been married,"hbo (higher vocational education, US: college)",No,Not urban,Self-owned dwelling,Single,False,0.7346433720515408,0.3728181432120749,-0.0909656671141819,-0.1204598210301404,0.6606287552065406,1
732306,1880.0,1660,1820.0,581.3803362616457,495.61974358630846,34,female,0,1608.0,,,Paid employment,1880.0,1660,Never been married,wo (university),Yes,Extremely urban,Rental dwelling,"(Un)married co-habitation, without child(ren)",,,no,1954,,1956,,4,,yes,2016,2016,no,,yes,,occasionally,practically never,,,no,,we do roughly the same amount of work,no,differences in income should decrease,fully disagree,agree,fully agree,2 days per week,university,never,"yes, sometimes",not applicable,,,no,not applicable,no,,0,,,no,yes,no,yes,,no,Dutch background,Paid employment,1880.0,1660,Never been married,wo (university),Yes,Extremely urban,Rental dwelling,"(Un)married co-habitation, without child(ren)",False,1.0633461140718976,0.3801962211265262,0.3485778112285073,-0.2951227926495242,0.8929465009619826,0
721257,5563.21251542946,4000,4729.72270330757,1361.0662296282112,959.2269369093276,30,female,0,3500.0,0,-6,Paid employment,2125.41591619464,1500,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",Yes,Slightly urban,Rental dwelling,"(Un)married co-habitation, with child(ren)",2,5,yes,1963,,1971,,,-9.0,,,,,,,6,,,,,no,,,no,,agree,fully disagree,agree,1 day per week,,never,not applicable,not applicable,,,no,not applicable,no,,0,,,,,,,,,"First generation foreign, non-western background",Paid employment,2125.41591619464,1500,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",Yes,Slightly urban,Rental dwelling,"(Un)married co-habitation, with child(ren)",False,-0.0831193940894828,-2.1448157400324668,0.7130178991202872,0.0247596841790743,0.3709789499985864,0
721939,3500.0,2400,3500.0,0.0,77.05321581629707,35,male,0,2350.0,,,Paid employment,3500.0,2400,Never been married,"mbo (intermediate vocational education, US: junior college)",No,Very urban,Self-owned dwelling,Single,,,no,1955,,1962,,,2475.0,,,,,,,7,,,,,no,,,no,,disagree,neither agree nor disagree,disagree,never,,once or a few times a year,not applicable,not applicable,,165000,no,yes,no,,0,,,no,,,,7,no,Dutch background,Paid employment,3500.0,2400,Never been married,"mbo (intermediate vocational education, US: junior college)",No,Very urban,Self-owned dwelling,Single,False,-0.0017809269556422,-0.0549285513315462,-1.134547820412909,-0.7896941776040451,-1.2077618832852874,0
708690,6391.0,4500,5450.0,765.6774180292508,594.4759459589379,32,female,0,4128.0,0,0,Paid employment,3202.0,2250,Never been married,"hbo (higher vocational education, US: college)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",0,2,yes,1963,,1964,,1,,yes,2015,2016,no,,yes,,practically never,practically never,,,no,,my partner does more than I,no,,disagree,neither agree nor disagree,agree,less than 1 day a week,,never,"yes, often/always",not applicable,500,,no,not applicable,no,,0,0,2,yes,yes,no,yes,,no,Dutch background,Paid employment,3202.0,2250,Never been married,"hbo (higher vocational education, US: college)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,0.4976418276304861,0.7324863949198976,0.3727810867020462,1.0351122505538015,0.0575411476176336,1
705110,,,,,,20,male,0,,,,Attends school or is studying,0.0,0,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",Yes,Extremely urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",,,I don't know,1970,,1974,,,,,,,,,,,,,,,no,,,no,,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,never,,never,not applicable,not applicable,,,no,not applicable,no,,0,,,I don't know,,,,,no,,Attends school or is studying,0.0,0,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",Yes,Extremely urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-0.6214965747571054,1.275354764937819,-1.055349394622012,0.3573581410218936,0.8599614620414275,0
703175,2950.0,2425,2720.0,161.8511572447021,254.7596432824684,36,male,0,2300.0,10,10,Paid employment,2950.0,2425,Never been married,"hbo (higher vocational education, US: college)",No,Not urban,Self-owned dwelling,Single,10,2,yes,,,1956,,16,,,,,,,,8,,,,,no,,,no,,fully disagree,fully agree,fully agree,less than 1 day a week,"VMBO, LBO, MULO, ULO, MAVO (lower/intermediate secondary education, US: junior high school)",never,"yes, often/always","yes, often/always",20000,145000,no,not applicable,no,,0,10,2,yes,,,,8,no,Dutch background,Paid employment,2950.0,2425,Never been married,"hbo (higher vocational education, US: college)",No,Not urban,Self-owned dwelling,Single,False,0.3235422561393529,1.1791784679539112,-1.5946061123574564,-1.4929318161063585,0.7039137120549007,1
715729,3750.0,2690,2650.0,534.887670428821,327.5566153154808,36,male,0,2050.0,0,-7,Paid employment,3750.0,2690,Never been married,wo (university),No,Extremely urban,Rental dwelling,Single,2,2,I don't know,1947,,1952,,0,,yes,2017,2018,no,,yes,8,occasionally,often,,,no,,my partner does more than I,no,,disagree,disagree,agree,2 days per week,,never,"yes, sometimes",not applicable,,,no,not applicable,no,,0,,,I don't know,yes,no,yes,,no,"First generation foreign, Western background",Paid employment,3750.0,2690,Never been married,wo (university),No,Extremely urban,Rental dwelling,Single,False,0.7509197644415254,-1.4376504241444643,-2.7275901879596747,0.4568089145792668,1.0578159875823347,1
710495,3092.0,2250,2859.0,190.92685196674773,240.77170617153843,29,male,0,1750.0,5,5,Paid employment,3092.0,2250,Never been married,"hbo (higher vocational education, US: college)",No,Not urban,Self-owned dwelling,Single,5,2,yes,1965,,1966,,,1333.0,,,,,,,6,,,,,no,,,no,,fully disagree,disagree,agree,less than 1 day a week,,never,"yes, often/always",not applicable,,170000,no,not applicable,no,,0,5,2,yes,,,,6,no,Dutch background,Paid employment,3092.0,2250,Never been married,"hbo (higher vocational education, US: college)",No,Not urban,Self-owned dwelling,Single,False,-1.769131417789208,1.3850938570101925,-0.8523246350992826,0.5820020195391329,-0.3991954121597366,1
712169,900.0,850,8613.39129462891,3533.369524382098,1869.979942883471,20,female,0,5475.0,8,8,Attends school or is studying,900.0,850,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",No,Very urban,Rental dwelling,Single,8,2,yes,1970,,1974,,,15448.0,,,,,,,,,,,,no,,,no,,disagree,neither agree nor disagree,fully agree,1 day per week,"HAVO / VWO (higher/pre-university secondary education, US: senior high school)",once or a few times a year,"yes, often/always",not applicable,,,no,not applicable,no,,0,8,2,yes,,,,,no,Dutch background,Attends school or is studying,900.0,850,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",No,Very urban,Rental dwelling,Single,False,0.2702900894359673,-0.5538063241397653,1.269464887220747,0.7446034343903857,0.573736662058241,0
710372,3150.0,2000,3150.0,22.024634867865636,44.39610898213516,43,male,0,2000.0,,,Paid employment,3150.0,2000,Divorced,"hbo (higher vocational education, US: college)",No,Very urban,Self-owned dwelling,Single,,,no,1946,,1950,,,23146.0,,,,,,,9,,,,,no,,,no,,disagree,neither agree nor disagree,agree,less than 1 day a week,"HBO (higher professional education, US: college)",once a week,not applicable,"yes, often/always",3500,145000,no,not applicable,no,2014,2,,,no,,,,9,no,Dutch background,Paid employment,3150.0,2000,Divorced,"hbo (higher vocational education, US: college)",No,Very urban,Self-owned dwelling,Single,False,-0.8645641952187236,-0.6841297539942947,0.1517148660589672,-0.5501185659088806,0.7541938976565041,0
711824,7745.70425849882,5000,5982.47711902668,1437.317281218673,777.2532544573113,27,female,0,4000.0,1,1,Paid employment,3391.22694966811,2250,Never been married,"mbo (intermediate vocational education, US: junior college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",1,2,yes,1964,,1964,,,33842.0,yes,2014,2015,no,,yes,,practically never,occasionally,,,no,,my partner does more than I,no,,disagree,neither agree nor disagree,agree,1 day per week,"MBO (intermediate professional education, US: junior college)",never,"yes, often/always",not applicable,-9,260000,no,not applicable,yes,,0,1,2,yes,yes,no,yes,,yes,Dutch background,Paid employment,3391.22694966811,2250,Never been married,"mbo (intermediate vocational education, US: junior college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-0.6189300414798806,0.1628707576366533,0.1342123118549761,0.2302306692790527,-0.3843127988258777,1
715042,5062.0,3832,4932.0,369.9295969619708,329.85472798684293,20,female,0,3584.0,15,15,Attends school or is studying,500.0,380,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",15,2,yes,1969,,1970,,,,no,2019,,no,,,,occasionally,occasionally,,,no,,,no,,,,,less than 1 day a week,"HAVO / VWO (higher/pre-university secondary education, US: senior high school)",once or a few times a year,"yes, often/always",not applicable,,,no,,no,,0,15,2,yes,no,no,,,,Dutch background,Attends school or is studying,500.0,380,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-0.962649668922685,-0.4476452015025064,0.7381348643377476,0.3074021160576178,-0.6917528448970321,0
701424,,,2600.0,82.14782228326169,61.22499489587565,20,female,0,1900.0,15,15,First-time job seeker,0.0,0,Never been married,"vmbo (intermediate secondary education, US: junior high school)",No,Very urban,Self-owned dwelling,"Single, with child(ren)",15,2,yes,1961,,1968,,16,,no,2016,,no,,yes,,occasionally,occasionally,,,no,,,no,differences in income should decrease,fully disagree,fully agree,fully agree,1 day per week,"MBO (intermediate professional education, US: junior college)",never,"yes, often/always",not applicable,,,no,,no,,0,15,2,yes,no,no,yes,,no,Dutch background,First-time job seeker,0.0,0,Never been married,"vmbo (intermediate secondary education, US: junior high school)",No,Very urban,Self-owned dwelling,"Single, with child(ren)",False,0.7462916248812986,-0.1478678656135821,0.6667846368674802,-1.0845014009939178,-1.33132002198356,0
721217,1000.0,800,1400.0,177.2973305900104,178.1634705045403,40,female,0,1200.0,,,Paid employment,1000.0,800,Divorced,"mbo (intermediate vocational education, US: junior college)",No,Slightly urban,Rental dwelling,"Single, with child(ren)",,,no,1956,1990,1958,,,,,,,,,,5,,,,,no,,,no,differences in income should decrease,fully disagree,fully agree,agree,less than 1 day a week,"MBO (intermediate professional education, US: junior college)",once or a few times a year,not applicable,"yes, often/always",2000,,no,"no, I don't have enough money for that",no,2003,2,,,no,,,,5,no,Dutch background,Paid employment,1000.0,800,Divorced,"mbo (intermediate vocational education, US: junior college)",No,Slightly urban,Rental dwelling,"Single, with child(ren)",False,1.8802438791868048,1.5846208402810764,1.3467054097367388,1.3114255057307056,0.9695849652222772,0
717730,549.001505149669,450,549.001505149669,0.0,0.0,23,female,0,450.0,,,Attends school or is studying,549.001505149669,450,Never been married,wo (university),No,Moderately urban,Rental dwelling,Single,,,I don't know,1960,2016,1969,,,,,,,,,,9,,,,,no,,,no,,fully disagree,neither agree nor disagree,fully agree,less than 1 day a week,"HAVO / VWO (higher/pre-university secondary education, US: senior high school)",never,not applicable,not applicable,,,no,not applicable,no,,0,,,I don't know,,,,9,no,Dutch background,Attends school or is studying,549.001505149669,450,Never been married,wo (university),No,Moderately urban,Rental dwelling,Single,False,-1.327531016729108,-0.2037429582902011,-1.7858485113232423,0.0911343681739087,0.5866728312125683,0
721537,5658.78097594157,4150,4262.09624408387,901.360223925237,569.36139636649,19,female,0,3250.0,7,7,Attends school or is studying,0.0,0,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",7,3,yes,1973,,1977,,,,,,,,,,,,,,,no,,,no,differences in income should decrease,fully agree,neither agree nor disagree,fully disagree,less than 1 day a week,primary school,more than once a week,not applicable,not applicable,,,no,,no,,0,7,3,yes,,,,,no,Dutch background,Attends school or is studying,0.0,0,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-0.257425967086315,-0.141176244925827,2.144620539628997,1.4823730723511368,-0.0438335915580052,0
728299,4450.0,3000,4225.0,158.95568002610153,103.09228547118111,39,female,0,3000.0,,,Paid employment,600.0,750,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",,,no,1957,,1956,,15,,yes,2001,2003,yes,2012,yes,,occasionally,practically never,,,no,,we do roughly the same amount of work,no,,fully disagree,fully agree,neither agree nor disagree,never,"HBO (higher professional education, US: college)",never,"yes, often/always","yes, often/always",9000,,no,yes,no,2013,3,,,no,yes,yes,yes,,no,Dutch background,Paid employment,600.0,750,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-1.720947668520718,0.4055012333982839,1.9315451337882783,1.2522742504662072,0.5233538196264229,0
730286,5300.0,4050,5300.0,107.7346988100656,76.52605299157504,29,male,0,4050.0,1,1,Paid employment,3700.0,2750,Married,"hbo (higher vocational education, US: college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",1,2,yes,1960,,1959,,,10456.0,yes,2012,2016,yes,2016,yes,,practically never,occasionally,8,400,no,,I do a lot more than my partner,no,,agree,disagree,disagree,less than 1 day a week,"MBO (intermediate professional education, US: junior college)",once a week,"yes, often/always","yes, often/always",15000,285000,no,not applicable,no,2019,2,1,2,yes,yes,yes,yes,,no,Dutch background,Paid employment,3700.0,2750,Married,"hbo (higher vocational education, US: college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-0.5966159715373821,-1.1875039851676967,1.332505252607775,0.8507313974057664,2.1147778600981506,1
732157,4450.0,3000,4225.0,158.95568002610153,103.09228547118111,40,male,0,3000.0,,,Paid employment,3850.0,2250,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",,,no,1955,,1957,,4,,yes,2002,2003,yes,2012,yes,,occasionally,occasionally,,,no,,we do roughly the same amount of work,no,,neither agree nor disagree,disagree,agree,less than 1 day a week,,never,"yes, often/always","yes, often/always",10000,295000,no,yes,no,2013,3,,,,,,,,,Dutch background,Paid employment,3850.0,2250,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-0.3723190140384499,0.973740008073712,-0.5836238832976924,0.0997273083548891,-0.372160780217898,0
700760,10000.0,6500,10000.0,651.1314194811524,350.6092258744665,39,male,0,6500.0,0,0,"Autonomous professional, freelancer, or self-employed",5500.0,3500,Married,"hbo (higher vocational education, US: college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",0,1,yes,1948,,1949,,,0.0,yes,2004,2013,yes,2015,yes,,occasionally,practically never,,980,no,,I do a lot more than my partner,no,,agree,fully disagree,disagree,never,university,more than once a week,"yes, often/always","yes, often/always",65000,,yes,yes,no,2014,1,0,1,yes,yes,yes,yes,,,Dutch background,"Autonomous professional, freelancer, or self-employed",5500.0,3500,Married,"hbo (higher vocational education, US: college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,1.1339810983903351,-0.545425076458017,-1.7676776722096212,-0.3240219526958857,0.0825203568119083,1
713009,4796.44809967718,3800,3500.0,556.5720774520562,499.2026268366879,19,female,0,2826.0,7,7,Attends school or is studying,411.448099677184,350,Never been married,"mbo (intermediate vocational education, US: junior college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",10,2,I don't know,1968,,1976,,,0.0,no,2017,,no,,yes,,practically never,practically never,,,no,,,no,differences in income should decrease,disagree,agree,neither agree nor disagree,never,,never,"yes, sometimes",not applicable,,,no,,no,,0,,,I don't know,no,no,yes,,no,,Attends school or is studying,411.448099677184,350,Never been married,"mbo (intermediate vocational education, US: junior college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-0.966896916688086,1.0688164835415,-0.9249749494240572,-1.3052834998812586,-2.025727882735365,0
708608,7745.70425849882,5000,5982.47711902668,1437.317281218673,777.2532544573113,32,male,0,4000.0,1,1,Paid employment,4354.47730883071,2750,Never been married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",1,2,yes,1959,,1959,,16,,yes,2013,2013,no,,yes,,practically never,occasionally,,,no,,I do more than my partner,no,,disagree,disagree,agree,1 day per week,,never,"yes, often/always",not applicable,5000,,no,not applicable,yes,,0,1,2,yes,yes,no,yes,,yes,Dutch background,Paid employment,4354.47730883071,2750,Never been married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,0.6110233933987416,0.0082955038882961,-1.3365513107098137,-0.4651037979023432,-0.5267694485682434,1
731088,4315.0,3793,4145.0,115.9423097575652,114.10233754986544,34,female,1,3612.0,1,1,Paid employment,2115.0,1793,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",1,2,yes,1956,,1959,,14,,yes,2014,2014,yes,2017,yes,,occasionally,occasionally,,,no,,my partner does a lot more than I,no,differences in income should decrease,disagree,neither agree nor disagree,agree,1 day per week,"MBO (intermediate professional education, US: junior college)",never,"yes, often/always",not applicable,-9,250000,no,not applicable,yes,,0,1,2,yes,yes,yes,yes,,yes,Dutch background,Paid employment,2115.0,1793,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,0.9779398411457694,1.2236706875636736,0.0947352705097231,-1.0169977305605988,-0.489271418627311,1
712700,5700.0,4200,5250.0,261.5521854628345,115.7252044227584,42,female,0,3985.0,,,Paid employment,1900.0,1700,Never been married,"hbo (higher vocational education, US: college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",,,no,1945,,1948,,,1149.0,yes,2008,2009,no,,yes,,practically never,practically never,,150,no,,I do a lot more than my partner,no,,fully disagree,agree,agree,less than 1 day a week,"VMBO, LBO, MULO, ULO, MAVO (lower/intermediate secondary education, US: junior high school)",never,"yes, often/always","yes, often/always",12000,290000,no,yes,no,2014,2,,,no,yes,no,yes,,no,Dutch background,Paid employment,1900.0,1700,Never been married,"hbo (higher vocational education, US: college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,0.4635747199254955,-0.1867633609996783,-0.2695660904679897,0.5210718598683857,-0.1750422224626108,0
724622,9868.4567520403,6080,9346.52614482911,248.82065407905287,122.3142665349378,43,female,0,5941.0,,,Paid employment,3095.93060721119,2080,Married,wo (university),Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",,,no,1942,,1944,,,62446.0,yes,2002,2003,yes,2007,yes,,occasionally,occasionally,,,no,,my partner does a lot more than I,no,,neither agree nor disagree,disagree,agree,less than 1 day a week,university,never,"yes, often/always","yes, often/always",,310000,no,yes,no,2011,2,,,no,yes,yes,yes,,no,Dutch background,Paid employment,3095.93060721119,2080,Married,wo (university),Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-0.009090727756943,1.180306339782061,1.0709113305815852,-1.3511291390318905,1.295197209459087,0
729821,2840.0,2100,2300.0,246.8328678407003,210.86641853231737,36,female,0,1600.0,0,-7,Paid employment,2840.0,2100,Never been married,"mbo (intermediate vocational education, US: junior college)",No,Very urban,Self-owned dwelling,"Single, with child(ren)",1,1,no,1956,,1956,,,758.783895453772,,,,,,,8,,,,2731,no,,,no,differences in income should decrease,fully disagree,fully agree,fully agree,1 day per week,,never,not applicable,"yes, often/always",6000,200000,no,yes,yes,2018,2,,,,,,,,,Dutch background,Paid employment,2840.0,2100,Never been married,"mbo (intermediate vocational education, US: junior college)",No,Very urban,Self-owned dwelling,"Single, with child(ren)",False,-0.1098768197376482,0.874054059621695,0.0702427345839653,0.1848539226411787,0.6675255879297983,0
731267,900.0,800,900.0,217.40898478827103,217.40898478827103,25,female,0,800.0,0,0,Attends school or is studying,900.0,800,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",No,Moderately urban,Rental dwelling,Single,6,3,I don't know,1954,2019,1960,,13,,no,2020,,no,,,9,practically never,practically never,,,no,,,no,differences in income should decrease,fully disagree,fully agree,neither agree nor disagree,2 days per week,"MBO (intermediate professional education, US: junior college)",never,not applicable,not applicable,,,no,not applicable,no,,0,,,I don't know,no,no,,,no,Dutch background,Attends school or is studying,900.0,800,Never been married,"havo/vwo (higher secondary education/preparatory university education, US: senior high school)",No,Moderately urban,Rental dwelling,Single,False,-0.9162192299242704,1.4334816130837371,1.755769143418647,0.6795328910576327,0.1415883212156969,0
717390,10000.0,6500,10000.0,651.1314194811524,350.6092258744665,33,female,0,6500.0,1,1,Paid employment,4500.0,3000,Married,wo (university),Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",1,1,yes,1955,,1955,,,58286.0,yes,2004,2014,yes,2015,yes,,practically never,practically never,,150,no,,my partner does a lot more than I,no,,disagree,disagree,agree,1 day per week,university,never,"yes, often/always","yes, often/always",10000,1000000,no,yes,no,2014,1,1,1,yes,yes,yes,yes,,no,Dutch background,Paid employment,4500.0,3000,Married,wo (university),Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-0.1301924141625689,-0.768661361381896,0.3035140149980396,0.2128565677585577,-0.4604247635918315,1
716853,1080.0,1000,1080.0,81.18747035488201,112.42238256773751,41,female,0,1000.0,,,Paid employment,1080.0,1000,Divorced,"mbo (intermediate vocational education, US: junior college)",No,Extremely urban,Rental dwelling,"Single, with child(ren)",,,no,1951,2011,1954,,,,,,,,,,10 entirely satisfied,,,,,no,,,no,differences in income should decrease,agree,disagree,agree,never,,never,not applicable,"yes, often/always",,,no,not applicable,no,2002,1,,,no,,,,10 entirely satisfied,no,"First generation foreign, Western background",Paid employment,1080.0,1000,Divorced,"mbo (intermediate vocational education, US: junior college)",No,Extremely urban,Rental dwelling,"Single, with child(ren)",False,1.0801835467933691,1.3129409145816855,1.7615967893894058,1.440361975923352,-1.122656687338664,0
725867,3827.17922263622,3340,1809.75797226616,435.6234299928509,386.0389813502663,29,female,0,1490.0,0,-10,Job seeker following job loss,1075.67080272897,840,Never been married,"mbo (intermediate vocational education, US: junior college)",No,Slightly urban,Self-owned dwelling,"Single, with child(ren)",0,2,I don't know,1950,,1956,,7,,no,2018,,no,,yes,,occasionally,practically never,,613,no,,,no,,agree,fully disagree,agree,less than 1 day a week,"VMBO, LBO, MULO, ULO, MAVO (lower/intermediate secondary education, US: junior high school)",once or a few times a year,"yes, often/always","yes, often/always",1000,,no,yes,yes,2014,1,,,I don't know,no,no,yes,,yes,"Second generation foreign, non-western background",Job seeker following job loss,1075.67080272897,840,Never been married,"mbo (intermediate vocational education, US: junior college)",No,Slightly urban,Self-owned dwelling,"Single, with child(ren)",False,0.1472763421900552,-0.1360381092729825,-0.3760478029311013,0.5844575162695742,1.3049751160038148,1
713891,6662.0,5070,5062.0,619.8170273676728,530.210570537606,20,female,0,3470.0,10,10,Does something else,1000.0,1000,Never been married,"vmbo (intermediate secondary education, US: junior high school)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",10,2,yes,1962,,1962,,,0.0,,,,,,,,,,,,no,,,no,,disagree,agree,agree,never,"MBO (intermediate professional education, US: junior college)",never,not applicable,not applicable,5500,,no,,no,,0,10,2,yes,,,,,no,,Does something else,1000.0,1000,Never been married,"vmbo (intermediate secondary education, US: junior high school)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-1.6777973917098488,0.3210170946983522,0.1949739738833782,0.4187068066332498,-0.0162428676171707,0
